Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2021-07-01,CDSL,EQ,978.55,983.35,995.0,975.0,982.5,981.9,985.38,294473,29016838564999.996,17376,144776,0.4916
2021-07-02,CDSL,EQ,981.9,987.7,1058.9,980.5,1030.0,1034.75,1028.7,2064331,212356735395000.0,83895,725664,0.3515
2021-07-05,CDSL,EQ,1034.75,1042.0,1064.0,1034.5,1042.15,1039.55,1048.76,1009324,105854125975000.0,51488,406337,0.4026
2021-07-06,CDSL,EQ,1039.55,1042.0,1049.0,1012.0,1027.0,1023.4,1033.89,395431,40883149290000.0,27573,195079,0.4933
2021-07-07,CDSL,EQ,1023.4,1028.95,1028.95,1011.0,1024.3,1022.55,1018.64,281981,28723634645000.0,19348,142360,0.5049
2021-07-08,CDSL,EQ,1022.55,1020.0,1045.0,1010.1,1023.6,1025.2,1029.78,416680,42908964895000.0,25834,181152,0.43479999999999996
2021-07-09,CDSL,EQ,1025.2,1042.0,1064.0,1040.95,1050.0,1052.55,1053.62,1038128,109378753684999.98,51295,361457,0.3482
2021-07-12,CDSL,EQ,1052.55,1061.0,1093.0,1053.45,1086.4,1083.35,1079.12,1036569,111857882820000.0,47351,405819,0.3915
2021-07-13,CDSL,EQ,1083.35,1094.0,1279.8,1090.1,1242.8,1254.45,1207.13,5923528,715044520200000.0,245949,1084170,0.18300000000000002
2021-07-14,CDSL,EQ,1254.45,1244.7,1329.4,1217.1,1309.0,1304.35,1285.79,4310708,554268291650000.0,177019,738399,0.17129999999999998
2021-07-15,CDSL,EQ,1304.35,1309.0,1424.0,1305.0,1396.85,1399.5,1378.83,4044031,557604032560000.06,171412,844090,0.20870000000000002
2021-07-16,CDSL,EQ,1399.5,1410.0,1496.9,1410.0,1457.0,1449.3,1459.07,3562412,519779263439999.94,188695,954395,0.26789999999999997
2021-07-19,CDSL,EQ,1449.3,1437.95,1579.0,1345.05,1535.0,1537.45,1515.7,4762878,721908660505000.0,205324,1140615,0.2395
2021-07-20,CDSL,EQ,1537.45,1530.5,1577.45,1480.0,1506.65,1501.7,1520.39,2602861,395735900665000.0,138594,820005,0.315
